Tipo,Temp_Aire,Temp_Proceso,Velocidad,Torque,Desgaste,Fallo,Tipo_Fallo,Indice_Esfuerzo_Mecanico,Gasto_Excesivo
M,298.9,309.2,1412,44.1,140,0,No Failure,62269.200000000004,True
L,298.9,309.1,2861,4.6,143,1,Power Failure,13160.599999999999,False
L,298.9,309.1,1383,54.9,145,0,No Failure,75926.7,True
H,298.8,309.0,1497,43.8,147,0,No Failure,65568.59999999999,True
L,298.7,309.0,1565,35.1,152,0,No Failure,54931.5,False
L,298.7,309.0,1691,30.1,154,0,No Failure,50899.100000000006,False
L,298.8,309.1,1512,40.7,156,0,No Failure,61538.4,True
L,298.8,309.1,1477,42.4,158,0,No Failure,62624.799999999996,True
L,298.8,309.1,1513,40.3,160,0,No Failure,60973.899999999994,True
M,298.8,309.0,1661,29.5,162,0,No Failure,48999.5,False
L,298.8,309.1,1378,54.4,165,0,No Failure,74963.2,True
L,298.8,309.1,1393,52.6,167,0,No Failure,73271.8,True
M,298.8,309.0,1592,38.2,169,0,No Failure,60814.4,True
L,298.8,309.0,1829,22.9,172,0,No Failure,41884.1,False
M,298.9,309.0,1812,25.9,174,0,No Failure,46930.799999999996,False
L,299.0,309.1,1523,38.6,177,0,No Failure,58787.8,False
L,299.0,309.1,1394,45.1,179,0,No Failure,62869.4,True
M,298.9,308.9,1679,28.7,181,0,No Failure,48187.299999999996,False
H,298.8,308.9,1466,44.1,184,0,No Failure,64650.6,True
L,298.8,308.9,1527,32.4,189,0,No Failure,49474.799999999996,False
L,298.9,309.0,1410,65.7,191,1,Power Failure,92637.0,True
M,298.9,309.0,1924,22.6,193,0,No Failure,43482.4,False
L,298.9,309.1,1452,45.5,196,0,No Failure,66066.0,True
L,298.9,309.1,1369,44.4,198,0,No Failure,60783.6,True
L,299.0,309.1,1592,35.0,200,0,No Failure,55720.0,False
L,298.9,309.0,1601,32.3,202,0,No Failure,51712.299999999996,False
L,298.8,308.9,1379,46.7,204,0,No Failure,64399.3,True
L,298.8,308.9,1461,47.9,206,0,No Failure,69981.9,True
L,298.8,308.9,1455,41.3,208,1,Tool Wear Failure,60091.49999999999,True
L,298.8,308.9,1398,51.5,0,0,No Failure,71997.0,True
L,298.8,308.9,1402,37.9,2,0,No Failure,53135.799999999996,False
H,298.8,308.8,1445,49.9,4,0,No Failure,72105.5,True
L,298.9,308.9,1450,47.5,9,0,No Failure,68875.0,True
L,298.9,308.9,1453,40.8,11,0,No Failure,59282.399999999994,False
L,299.0,309.0,1469,40.1,13,0,No Failure,58906.9,False
L,298.9,308.9,1422,47.6,15,0,No Failure,67687.2,True
M,299.0,309.0,1804,26.8,17,0,No Failure,48347.200000000004,False
H,299.0,309.0,1436,43.9,20,0,No Failure,63040.4,True
L,299.0,309.0,1544,31.8,25,0,No Failure,49099.200000000004,False
M,299.0,309.0,1419,45.2,27,0,No Failure,64138.8,True
M,298.9,308.9,1487,39.5,30,0,No Failure,58736.5,False
L,298.9,308.9,1753,25.8,33,0,No Failure,45227.4,False
L,298.9,308.9,1830,24.9,35,0,No Failure,45567.0,False
M,298.9,308.9,1727,27.1,37,0,No Failure,46801.700000000004,False
L,299.1,309.0,1450,43.0,40,0,No Failure,62350.0,True
L,299.0,308.9,1622,31.9,42,0,No Failure,51741.799999999996,False
M,299.0,309.0,1351,52.2,44,0,No Failure,70522.2,True
M,299.0,309.0,1575,35.3,47,0,No Failure,55597.49999999999,False
M,298.9,308.9,1750,29.9,50,0,No Failure,52325.0,False
L,298.9,308.8,1529,32.7,53,0,No Failure,49998.3,False
L,298.8,308.8,1523,44.4,55,0,No Failure,67621.2,True
L,298.8,308.9,1852,25.0,57,0,No Failure,46300.0,False
L,298.8,308.8,1991,20.7,59,0,No Failure,41213.7,False
L,298.8,308.8,1555,40.6,61,0,No Failure,63133.0,True
M,298.8,308.8,1441,40.5,63,0,No Failure,58360.5,False
L,298.8,308.7,1450,43.4,66,0,No Failure,62930.0,True
L,298.8,308.7,1591,31.1,68,0,No Failure,49480.100000000006,False
L,298.8,308.7,1445,48.5,70,0,No Failure,70082.5,True
M,298.8,308.8,1497,46.8,72,0,No Failure,70059.59999999999,True
H,298.9,308.8,1621,32.7,75,0,No Failure,53006.700000000004,False
L,298.9,308.7,1572,34.1,80,0,No Failure,53605.200000000004,False
L,298.8,308.6,1872,22.5,82,0,No Failure,42120.0,False
H,298.7,308.6,1499,43.5,84,0,No Failure,65206.5,True
M,298.8,308.7,1498,39.5,89,0,No Failure,59171.0,False
M,298.8,308.6,1486,41.9,92,0,No Failure,62263.4,True
L,298.8,308.6,1680,29.4,95,0,No Failure,49392.0,False
L,298.8,308.6,1431,45.7,97,0,No Failure,65396.700000000004,True
L,298.9,308.7,1564,34.1,99,0,No Failure,53332.4,False
L,298.8,308.6,1599,33.0,101,0,No Failure,52767.0,False
M,298.8,308.6,1707,28.1,103,0,No Failure,47966.700000000004,False
L,298.7,308.5,1467,40.7,106,0,No Failure,59706.9,False
L,298.9,308.7,1433,44.7,108,0,No Failure,64055.100000000006,True
L,298.9,308.7,1558,41.2,110,0,No Failure,64189.600000000006,True
L,299.0,308.8,1310,50.7,112,0,No Failure,66417.0,True
L,298.9,308.7,1546,43.4,114,0,No Failure,67096.4,True
L,298.9,308.7,1727,29.4,116,0,No Failure,50773.799999999996,False
L,298.9,308.6,1560,32.2,118,0,No Failure,50232.00000000001,False
L,299.0,308.6,1329,60.5,120,0,No Failure,80404.5,True
L,298.9,308.6,1413,46.5,122,0,No Failure,65704.5,True
L,299.0,308.6,1587,38.6,124,0,No Failure,61258.200000000004,True
L,298.9,308.5,1559,34.3,126,0,No Failure,53473.7,False
L,298.8,308.4,1473,41.1,128,0,No Failure,60540.3,True
L,298.8,308.4,1737,27.7,130,0,No Failure,48114.9,False
M,298.7,308.4,1441,43.2,132,0,No Failure,62251.200000000004,True
M,298.7,308.4,1430,49.6,135,0,No Failure,70928.0,True
L,298.8,308.4,1369,53.0,138,0,No Failure,72557.0,True
M,298.8,308.5,1711,28.5,140,0,No Failure,48763.5,False
H,298.7,308.5,1420,45.7,143,0,No Failure,64894.00000000001,True
L,298.7,308.6,1297,55.3,148,0,No Failure,71724.09999999999,True
H,298.8,308.6,1449,49.4,150,0,No Failure,71580.59999999999,True
L,298.8,308.6,1268,55.8,155,0,No Failure,70754.4,True
L,298.8,308.6,1511,36.1,157,0,No Failure,54547.1,False
L,298.7,308.5,1544,35.2,159,0,No Failure,54348.8,False
M,298.6,308.4,1778,28.2,161,0,No Failure,50139.6,False
H,298.6,308.4,1407,50.5,164,0,No Failure,71053.5,True
M,298.6,308.4,1391,42.4,169,0,No Failure,58978.4,False
L,298.5,308.4,1513,33.6,172,0,No Failure,50836.8,False
H,298.5,308.4,1612,36.1,174,0,No Failure,58193.200000000004,False
L,298.4,308.4,1515,40.1,179,0,No Failure,60751.5,True
M,298.3,308.3,1379,48.0,181,0,No Failure,66192.0,True
L,298.4,308.3,1473,39.9,184,0,No Failure,58772.7,False
L,298.4,308.3,1422,42.7,186,0,No Failure,60719.4,True
M,298.4,308.2,1463,37.6,188,0,No Failure,55008.8,False
M,298.4,308.2,1584,41.0,191,0,No Failure,64944.0,True
L,298.4,308.2,1850,27.0,194,0,No Failure,49950.0,False
L,298.4,308.2,1528,36.2,196,0,No Failure,55313.600000000006,False
H,298.4,308.2,1987,19.8,198,0,No Failure,39342.6,False
M,298.4,308.1,1495,46.0,203,0,No Failure,68770.0,True
H,298.4,308.2,1478,43.5,206,0,No Failure,64293.0,True
M,298.4,308.2,1499,40.0,211,0,No Failure,59960.0,False
L,298.4,308.2,1471,47.0,214,0,No Failure,69137.0,True
L,298.4,308.2,1282,60.7,216,1,Overstrain Failure,77817.40000000001,True
L,298.3,308.1,1412,52.3,218,1,Overstrain Failure,73847.59999999999,True
L,298.3,308.1,1586,35.5,0,0,No Failure,56303.0,False
M,298.4,308.2,1468,43.8,2,0,No Failure,64298.399999999994,True
M,298.5,308.3,1440,43.6,5,0,No Failure,62784.0,True
L,298.5,308.4,1733,26.0,8,0,No Failure,45058.0,False
H,298.4,308.2,1612,32.6,10,0,No Failure,52551.200000000004,False
H,298.4,308.3,1458,42.9,15,0,No Failure,62548.2,True
L,298.4,308.3,1433,62.3,20,1,Power Failure,89275.9,True
L,298.4,308.3,1318,59.1,22,0,No Failure,77893.8,True
M,298.4,308.2,1610,35.0,24,0,No Failure,56350.0,False
L,298.2,308.1,1462,50.8,27,0,No Failure,74269.59999999999,True
M,298.1,308.0,1924,20.8,29,0,No Failure,40019.200000000004,False
M,298.2,308.0,1591,33.7,32,0,No Failure,53616.700000000004,False
L,298.2,308.1,1306,58.3,35,0,No Failure,76139.8,True
L,298.2,308.1,1382,43.5,37,0,No Failure,60117.0,True
L,298.2,308.1,1618,34.7,39,0,No Failure,56144.600000000006,False
L,298.2,308.2,1988,21.4,41,0,No Failure,42543.2,False
L,298.2,308.2,1436,50.2,43,0,No Failure,72087.2,True
L,298.2,308.3,1304,49.8,45,0,No Failure,64939.2,True
L,298.2,308.3,1475,49.9,47,0,No Failure,73602.5,True
H,298.2,308.3,1824,24.2,49,0,No Failure,44140.799999999996,False
M,298.1,308.2,1342,48.1,54,0,No Failure,64550.200000000004,True
L,298.1,308.2,1485,40.7,57,0,No Failure,60439.50000000001,True
L,298.2,308.2,1667,30.6,59,0,No Failure,51010.200000000004,False
L,298.2,308.2,1446,38.2,61,0,No Failure,55237.200000000004,False
L,298.1,308.3,1301,56.0,63,0,No Failure,72856.0,True
L,298.2,308.4,1379,43.1,65,0,No Failure,59434.9,False
L,298.3,308.5,1606,33.6,67,0,No Failure,53961.600000000006,False
M,298.3,308.4,1539,43.4,69,0,No Failure,66792.59999999999,True
L,298.2,308.4,1477,49.9,72,0,No Failure,73702.3,True
L,298.2,308.4,1666,34.6,74,0,No Failure,57643.600000000006,False
H,298.2,308.4,1398,51.8,76,0,No Failure,72416.4,True
H,298.2,308.4,1678,34.6,81,0,No Failure,58058.8,False
M,298.2,308.5,2678,10.7,86,1,Power Failure,28654.6,False
L,298.3,308.5,1453,42.9,89,0,No Failure,62333.7,True
H,298.3,308.6,1432,49.5,91,0,No Failure,70884.0,True
M,298.4,308.6,1527,40.9,96,0,No Failure,62454.299999999996,True
L,298.4,308.7,1588,35.0,99,0,No Failure,55580.0,False
L,298.4,308.6,1433,47.1,101,0,No Failure,67494.3,True
L,298.4,308.6,1609,35.0,103,0,No Failure,56315.0,False
L,298.3,308.5,1575,41.2,105,0,No Failure,64890.00000000001,True
M,298.4,308.5,1636,35.7,107,0,No Failure,58405.200000000004,False
L,298.4,308.5,1490,37.9,110,0,No Failure,56471.0,False
L,298.4,308.5,1741,32.8,112,0,No Failure,57104.799999999996,False
M,298.5,308.6,1344,53.0,114,0,No Failure,71232.0,True
L,298.5,308.7,1609,35.3,117,0,No Failure,56797.7,False
M,298.4,308.7,1421,60.7,119,1,Power Failure,86254.7,True
L,298.4,308.6,1591,36.7,122,0,No Failure,58389.700000000004,False
L,298.4,308.6,1477,44.0,124,0,No Failure,64988.0,True
L,298.4,308.7,1523,36.1,126,0,No Failure,54980.3,False
L,298.5,308.7,1575,33.9,128,0,No Failure,53392.5,False
H,298.4,308.7,1344,52.9,130,0,No Failure,71097.59999999999,True
L,298.4,308.7,1386,44.9,135,0,No Failure,62231.4,True
M,298.3,308.6,1589,37.1,137,0,No Failure,58951.9,False
L,298.3,308.6,1548,40.3,140,0,No Failure,62384.399999999994,True
L,298.3,308.6,1499,38.3,142,0,No Failure,57411.7,False
L,298.3,308.5,1664,31.6,144,0,No Failure,52582.4,False
L,298.3,308.6,1447,38.1,146,0,No Failure,55130.700000000004,False
M,298.3,308.5,1434,46.2,148,0,No Failure,66250.8,True
L,298.3,308.5,1416,52.7,151,0,No Failure,74623.2,True
H,298.4,308.5,1827,24.3,153,0,No Failure,44396.1,False
L,298.4,308.6,1304,45.0,158,0,No Failure,58680.0,False
L,298.4,308.6,1569,34.4,160,0,No Failure,53973.6,False
L,298.3,308.6,1584,29.3,162,0,No Failure,46411.200000000004,False
L,298.3,308.5,1362,53.8,164,0,No Failure,73275.59999999999,True
L,298.3,308.4,1329,49.2,166,0,No Failure,65386.8,True
L,298.3,308.5,1539,36.1,168,0,No Failure,55557.9,False
M,298.3,308.5,1629,37.1,170,0,No Failure,60435.9,True
L,298.3,308.5,1538,32.2,173,0,No Failure,49523.600000000006,False
L,298.3,308.6,1570,34.8,175,0,No Failure,54635.99999999999,False
L,298.3,308.4,1408,43.1,177,0,No Failure,60684.8,True
L,298.2,308.4,1424,47.6,179,0,No Failure,67782.40000000001,True
L,298.2,308.4,1512,34.9,181,0,No Failure,52768.799999999996,False
L,298.2,308.4,1478,42.9,183,0,No Failure,63406.2,True
M,298.1,308.3,1680,33.7,185,0,No Failure,56616.00000000001,False
L,298.1,308.3,1495,38.7,188,0,No Failure,57856.50000000001,False
M,298.0,308.1,1552,36.6,190,0,No Failure,56803.200000000004,False
L,297.9,308.1,1393,50.3,193,0,No Failure,70067.9,True
L,298.0,308.2,1611,30.6,195,0,No Failure,49296.600000000006,False
M,298.0,308.1,1339,51.6,197,0,No Failure,69092.40000000001,True
L,298.0,308.1,1777,24.3,200,0,No Failure,43181.1,False
L,298.0,308.2,1348,58.8,202,1,Overstrain Failure,79262.4,True
L,298.0,308.2,1442,44.1,204,0,No Failure,63592.200000000004,True
M,298.0,308.2,1395,49.1,206,0,No Failure,68494.5,True
M,297.9,308.1,1627,31.4,209,0,No Failure,51087.799999999996,False
L,297.9,308.1,1585,33.5,212,0,No Failure,53097.5,False
L,298.0,308.2,1469,45.5,214,0,No Failure,66839.5,True
L,298.0,308.3,1362,56.8,216,1,Overstrain Failure,77361.59999999999,True
L,298.0,308.3,1405,56.2,218,1,Overstrain Failure,78961.0,True
L,298.0,308.3,1662,32.7,0,0,No Failure,54347.4,False
M,298.0,308.2,1466,42.6,2,0,No Failure,62451.6,True
L,298.0,308.2,1620,35.8,5,0,No Failure,57995.99999999999,False
L,298.0,308.2,1357,48.2,7,0,No Failure,65407.4,True
L,298.0,308.2,1514,37.9,9,0,No Failure,57380.6,False
L,298.0,308.2,1489,40.4,11,0,No Failure,60155.6,True
L,298.1,308.3,1331,63.0,13,0,No Failure,83853.0,True
L,298.0,308.0,1615,29.5,15,0,No Failure,47642.5,False
L,298.1,308.2,1482,37.9,17,0,No Failure,56167.799999999996,False
M,298.1,308.2,1420,63.9,19,1,Power Failure,90738.0,True
M,298.2,308.3,1522,49.1,22,0,No Failure,74730.2,True
L,298.1,308.2,1654,32.1,25,0,No Failure,53093.4,False
M,298.1,308.2,1736,26.8,27,0,No Failure,46524.8,False
M,298.0,308.1,1587,32.3,30,0,No Failure,51260.1,False
L,298.1,308.2,1390,47.5,33,0,No Failure,66025.0,True
L,298.0,308.1,1454,37.1,35,0,No Failure,53943.4,False
H,298.0,308.1,1440,43.7,37,0,No Failure,62928.00000000001,True
L,297.9,308.0,1954,21.1,42,0,No Failure,41229.4,False
H,297.9,308.0,1800,24.8,44,0,No Failure,44640.0,False
L,298.0,308.0,1524,37.0,49,0,No Failure,56388.0,False
H,298.0,308.0,1520,39.6,51,0,No Failure,60192.0,True
M,298.1,308.1,1452,40.8,56,0,No Failure,59241.6,False
L,298.1,308.1,1484,40.4,59,0,No Failure,59953.6,False
L,298.1,308.0,1426,46.0,61,0,No Failure,65596.0,True
L,298.1,308.0,1652,28.5,63,0,No Failure,47082.0,False
L,298.0,308.0,1401,54.7,65,0,No Failure,76634.7,True
M,298.0,307.9,1750,26.6,67,0,No Failure,46550.0,False
H,298.0,308.0,1479,50.7,70,0,No Failure,74985.3,True
M,298.0,308.0,1620,29.4,75,0,No Failure,47628.0,False
L,298.0,308.1,1819,23.4,78,0,No Failure,42564.6,False
M,298.1,308.1,1456,43.7,80,0,No Failure,63627.200000000004,True
L,298.1,308.0,1626,36.5,83,0,No Failure,59349.0,False
M,298.1,308.1,1390,49.8,85,0,No Failure,69222.0,True
L,298.2,308.2,1469,43.0,88,0,No Failure,63167.0,True
L,298.2,308.3,2051,19.2,90,0,No Failure,39379.2,False
L,298.2,308.3,1568,36.0,92,0,No Failure,56448.0,False
L,298.2,308.3,1589,33.2,94,0,No Failure,52754.8,False
L,298.2,308.3,1805,31.6,96,0,No Failure,57038.0,False
H,298.2,308.4,1385,42.2,98,0,No Failure,58447.00000000001,False
L,298.1,308.4,1436,46.7,103,0,No Failure,67061.2,True
L,298.1,308.4,1438,45.6,105,0,No Failure,65572.8,True
L,298.0,308.3,1473,42.6,107,0,No Failure,62749.8,True
L,298.1,308.4,1335,40.2,109,0,No Failure,53667.00000000001,False
H,298.1,308.5,1392,44.8,111,0,No Failure,62361.6,True
M,298.1,308.5,1372,51.1,116,0,No Failure,70109.2,True
M,298.1,308.6,1716,30.7,119,0,No Failure,52681.2,False
L,298.0,308.5,1395,46.2,122,0,No Failure,64449.00000000001,True
L,298.0,308.5,1713,25.3,124,0,No Failure,43338.9,False
H,297.9,308.5,2129,18.7,126,0,No Failure,39812.299999999996,False
M,297.8,308.3,1567,35.6,131,0,No Failure,55785.200000000004,False
L,297.8,308.4,1622,38.3,134,0,No Failure,62122.6,True
L,297.7,308.4,1740,27.1,136,0,No Failure,47154.0,False
H,297.8,308.4,1512,35.1,138,0,No Failure,53071.200000000004,False
M,297.8,308.4,1479,43.5,143,0,No Failure,64336.5,True
L,297.8,308.4,1737,27.5,146,0,No Failure,47767.5,False
L,297.8,308.4,2129,19.2,148,0,No Failure,40876.799999999996,False
L,297.8,308.4,1374,47.1,150,0,No Failure,64715.4,True
M,297.8,308.4,1579,36.6,152,0,No Failure,57791.4,False
L,297.9,308.5,1305,47.2,155,0,No Failure,61596.00000000001,True
M,297.9,308.5,1449,40.8,157,0,No Failure,59119.2,False
H,298.0,308.6,1526,41.8,160,0,No Failure,63786.799999999996,True
M,298.0,308.6,1453,44.1,165,0,No Failure,64077.3,True
L,297.9,308.6,1468,36.0,168,0,No Failure,52848.0,False
L,298.0,308.6,1313,50.8,170,0,No Failure,66700.4,True
M,297.9,308.5,1300,53.0,172,0,No Failure,68900.0,True
L,297.9,308.4,1646,40.6,175,0,No Failure,66827.6,True
L,297.8,308.4,1714,33.2,177,0,No Failure,56904.8,False
L,297.8,308.4,1685,28.4,179,0,No Failure,47854.0,False
L,297.8,308.4,1512,39.9,181,0,No Failure,60328.799999999996,True
L,297.8,308.4,1612,32.1,183,0,No Failure,51745.200000000004,False
H,297.8,308.4,1550,38.2,185,0,No Failure,59210.00000000001,False
L,297.8,308.4,1518,32.5,190,0,No Failure,49335.0,False
L,297.8,308.5,1448,40.0,192,0,No Failure,57920.0,False
L,297.8,308.5,1561,46.3,194,0,No Failure,72274.29999999999,True
M,297.8,308.5,1488,41.9,196,0,No Failure,62347.2,True
L,297.8,308.5,1699,27.8,199,0,No Failure,47232.200000000004,False
L,297.7,308.5,1501,41.4,201,0,No Failure,62141.4,True
L,297.7,308.5,1373,56.7,203,1,Overstrain Failure,77849.1,True
H,297.6,308.4,1703,31.4,205,0,No Failure,53474.2,False
H,297.7,308.5,1720,29.9,210,0,No Failure,51428.0,False
M,297.6,308.4,1398,41.9,215,0,No Failure,58576.2,False
M,297.6,308.4,1391,51.9,218,0,No Failure,72192.9,True
M,297.6,308.3,1538,40.2,0,0,No Failure,61827.600000000006,True
L,297.5,308.2,1647,31.3,3,0,No Failure,51551.1,False
M,297.5,308.1,1469,44.8,5,0,No Failure,65811.2,True
L,297.4,308.1,1749,25.9,8,0,No Failure,45299.1,False
M,297.6,308.2,1995,20.5,10,0,No Failure,40897.5,False
L,297.6,308.3,1742,27.7,13,0,No Failure,48253.4,False
L,297.5,308.2,1563,38.2,15,0,No Failure,59706.600000000006,False
M,297.5,308.2,1713,32.2,17,0,No Failure,55158.600000000006,False
L,297.4,308.1,1474,39.4,20,0,No Failure,58075.6,False
M,297.4,308.2,1530,32.6,22,0,No Failure,49878.0,False
L,297.4,308.2,1471,46.5,25,0,No Failure,68401.5,True
L,297.5,308.3,1388,48.6,27,0,No Failure,67456.8,True
M,297.5,308.2,2448,13.8,29,0,No Failure,33782.4,False
L,297.5,308.3,1585,32.9,32,0,No Failure,52146.5,False
M,297.5,308.3,1459,45.2,34,0,No Failure,65946.8,True
L,297.5,308.3,1544,40.8,37,0,No Failure,62995.2,True
L,297.6,308.3,1617,31.7,39,0,No Failure,51258.9,False
L,297.6,308.3,1595,34.3,41,0,No Failure,54708.49999999999,False
H,297.6,308.3,1400,44.3,43,0,No Failure,62019.99999999999,True
M,297.6,308.4,1611,31.0,48,0,No Failure,49941.0,False
M,297.6,308.4,1507,46.0,51,0,No Failure,69322.0,True
H,297.5,308.3,1674,30.0,54,0,No Failure,50220.0,False
L,297.6,308.3,1658,34.3,59,0,No Failure,56869.399999999994,False
L,297.6,308.3,1623,36.9,61,0,No Failure,59888.7,False
M,297.6,308.4,1398,48.9,63,0,No Failure,68362.2,True
L,297.6,308.4,1517,34.2,66,0,No Failure,51881.4,False
M,297.6,308.3,1467,36.7,68,0,No Failure,53838.9,False
M,297.6,308.3,1567,34.6,71,0,No Failure,54218.200000000004,False
M,297.5,308.3,1521,38.2,74,0,No Failure,58102.200000000004,False
L,297.5,308.3,1596,36.8,77,0,No Failure,58732.799999999996,False
H,297.6,308.3,1640,30.9,79,0,No Failure,50676.0,False
L,297.6,308.3,1438,47.8,84,0,No Failure,68736.4,True
L,297.6,308.4,1407,55.2,86,0,No Failure,77666.40000000001,True
L,297.6,308.4,1353,57.5,88,0,No Failure,77797.5,True
M,297.6,308.5,1552,40.9,90,0,No Failure,63476.799999999996,True
M,297.6,308.4,1569,38.3,93,0,No Failure,60092.7,True
L,297.5,308.4,1489,39.5,96,0,No Failure,58815.5,False
H,297.5,308.4,1587,36.1,98,0,No Failure,57290.700000000004,False
M,297.5,308.3,1622,37.2,103,0,No Failure,60338.4,True
L,297.5,308.4,1604,38.1,106,0,No Failure,61112.4,True
M,297.4,308.3,1405,51.7,108,0,No Failure,72638.5,True
L,297.4,308.3,1412,42.0,111,0,No Failure,59304.0,False
L,297.4,308.3,1431,43.0,113,0,No Failure,61533.0,True
L,297.4,308.2,1533,37.4,115,0,No Failure,57334.2,False
M,297.4,308.2,1401,51.9,117,0,No Failure,72711.9,True
M,297.4,308.2,1424,53.9,120,0,No Failure,76753.59999999999,True
L,297.3,308.2,1754,29.4,123,0,No Failure,51567.6,False
L,297.3,308.2,1754,26.8,125,0,No Failure,47007.200000000004,False
L,297.5,308.3,2564,12.8,127,1,Power Failure,32819.200000000004,False
L,297.5,308.5,1546,40.4,129,0,No Failure,62458.399999999994,True
L,297.5,308.5,1335,48.0,131,0,No Failure,64080.0,True
M,297.5,308.6,1842,27.0,133,0,No Failure,49734.0,False
L,297.5,308.5,1712,26.8,136,0,No Failure,45881.6,False
M,297.6,308.6,1414,45.4,138,0,No Failure,64195.6,True
L,297.6,308.7,1319,50.9,141,0,No Failure,67137.09999999999,True
L,297.7,308.7,1249,60.4,143,0,No Failure,75439.59999999999,True
L,297.6,308.7,1455,48.2,145,0,No Failure,70131.0,True
M,297.6,308.7,1408,54.8,147,0,No Failure,77158.4,True
L,297.6,308.7,1460,46.7,150,0,No Failure,68182.0,True
L,297.6,308.6,1491,38.1,152,0,No Failure,56807.1,False
M,297.6,308.5,1490,43.4,154,0,No Failure,64666.0,True
M,297.5,308.4,1350,52.2,157,0,No Failure,70470.0,True
L,297.5,308.4,1528,39.9,160,0,No Failure,60967.2,True
L,297.4,308.3,1571,37.7,162,0,No Failure,59226.700000000004,False
L,297.4,308.3,1490,42.6,164,0,No Failure,63474.0,True
M,297.4,308.3,1774,28.9,166,0,No Failure,51268.6,False
H,297.4,308.3,1502,43.6,169,0,No Failure,65487.200000000004,True
L,297.4,308.4,1392,49.7,174,0,No Failure,69182.40000000001,True
L,297.4,308.5,2100,16.9,176,0,No Failure,35490.0,False
L,297.5,308.5,1722,30.4,178,0,No Failure,52348.799999999996,False
L,297.4,308.6,1678,32.3,180,0,No Failure,54199.399999999994,False
L,297.3,308.6,1273,59.8,182,0,No Failure,76125.4,True
L,297.3,308.6,1297,45.9,184,0,No Failure,59532.299999999996,False
L,297.3,308.5,1350,57.6,186,0,No Failure,77760.0,True
